Date,Series,Value
2017-10-03,Average Tone,0.9978
2017-10-04,Average Tone,0.835
2017-10-05,Average Tone,0.8037
2017-10-06,Average Tone,0.4381
2017-10-07,Average Tone,0.9544
2017-10-08,Average Tone,1.635
2017-10-09,Average Tone,0.9154
2017-10-10,Average Tone,0.6349
2017-10-11,Average Tone,0.6307
2017-10-12,Average Tone,0.6216
2017-10-13,Average Tone,0.1349
2017-10-14,Average Tone,0.4859
2017-10-15,Average Tone,0.001
2017-10-16,Average Tone,0.0041
2017-10-17,Average Tone,0.1892
2017-10-18,Average Tone,0.7997
2017-10-19,Average Tone,0.6828
2017-10-20,Average Tone,0.2145
2017-10-21,Average Tone,0.0173
2017-10-22,Average Tone,0.2069
2017-10-23,Average Tone,-0.9902
2017-10-24,Average Tone,0.4342
2017-10-25,Average Tone,0.3634
2017-10-26,Average Tone,0.5604
2017-10-27,Average Tone,0.8063
2017-10-28,Average Tone,0.076
2017-10-29,Average Tone,0.1822
2017-10-30,Average Tone,0.1598
2017-10-31,Average Tone,0.353
2017-11-01,Average Tone,-0.1738
2017-11-02,Average Tone,0.6668
2017-11-03,Average Tone,0.2899
2017-11-04,Average Tone,2.0483
2017-11-05,Average Tone,0.4559
2017-11-06,Average Tone,0.1033
2017-11-07,Average Tone,0.5365
2017-11-08,Average Tone,-0.1625
2017-11-09,Average Tone,0.093
2017-11-10,Average Tone,0.68
2017-11-11,Average Tone,0.0249
2017-11-12,Average Tone,-1.1001
2017-11-13,Average Tone,-0.5982
2017-11-14,Average Tone,0.2397
2017-11-15,Average Tone,1.2621
2017-11-16,Average Tone,0.8901
2017-11-17,Average Tone,0.3684
2017-11-18,Average Tone,1.6452
2017-11-19,Average Tone,0.5901
2017-11-20,Average Tone,-0.3171
2017-11-21,Average Tone,0.2152
2017-11-22,Average Tone,0.0086
2017-11-23,Average Tone,-0.3272
2017-11-24,Average Tone,0.1154
2017-11-25,Average Tone,-0.1515
2017-11-26,Average Tone,0.1891
2017-11-27,Average Tone,0.1701
2017-11-28,Average Tone,0.0875
2017-11-29,Average Tone,0.0092
2017-11-30,Average Tone,-0.5614
2017-12-03,Average Tone,0.4557
2017-12-04,Average Tone,-0.9411
2017-12-05,Average Tone,0.2305
2017-12-06,Average Tone,0.188
2017-12-07,Average Tone,-0.0783
2017-12-08,Average Tone,-0.2783
2017-12-09,Average Tone,0.0047
2017-12-10,Average Tone,-0.4653
2017-12-11,Average Tone,-0.0252
2017-12-12,Average Tone,-0.4954
2017-12-13,Average Tone,-0.2702
2017-12-14,Average Tone,0.2338
2017-12-15,Average Tone,0.2348
2017-12-16,Average Tone,-1.5092
2017-12-17,Average Tone,-1.7542
2017-12-18,Average Tone,-0.335
2017-12-19,Average Tone,-0.0058
2017-12-20,Average Tone,-0.2613
2017-12-21,Average Tone,0.2028
2017-12-22,Average Tone,-2.3327
2017-12-23,Average Tone,-1.6441
2017-12-24,Average Tone,-1.3594
2017-12-25,Average Tone,-1.2547
2017-12-26,Average Tone,-0.8081
2017-12-27,Average Tone,-0.2926
2017-12-28,Average Tone,-0.3998
2017-12-29,Average Tone,-0.1425
2017-12-30,Average Tone,0.2753
2017-12-31,Average Tone,0.4074
2018-01-01,Average Tone,-0.2783
2018-01-02,Average Tone,-0.1667
2018-01-03,Average Tone,0.2054
2018-01-04,Average Tone,0.1445
2018-01-05,Average Tone,-0.4403
2018-01-06,Average Tone,-0.0635
2018-01-07,Average Tone,-1.3742
2018-01-08,Average Tone,-0.5066
2018-01-09,Average Tone,-0.6388
2018-01-10,Average Tone,-0.0816
2018-01-11,Average Tone,-1.0303
2018-01-12,Average Tone,-0.4196
2018-01-13,Average Tone,-0.2825
2018-01-14,Average Tone,0.5774
2018-01-15,Average Tone,-0.1726
2018-01-16,Average Tone,-1.3495
2018-01-17,Average Tone,-1.8967
2018-01-18,Average Tone,-1.2182
2018-01-19,Average Tone,-1.5256
2018-01-20,Average Tone,-0.7926
2018-01-21,Average Tone,-0.3342
2018-01-22,Average Tone,0.0139
2018-01-23,Average Tone,0.2999
2018-01-24,Average Tone,0.0997
2018-01-25,Average Tone,0.5661
2018-01-26,Average Tone,-0.3133
2018-01-27,Average Tone,0.1129
2018-01-28,Average Tone,0.7247
2018-01-29,Average Tone,-0.6057
2018-01-30,Average Tone,-0.5098
2018-01-31,Average Tone,-0.445
2018-02-01,Average Tone,-1.3336
2018-02-02,Average Tone,-2.1062
2018-02-03,Average Tone,-1.3356
2018-02-04,Average Tone,-1.1695
2018-02-05,Average Tone,-1.4233
2018-02-06,Average Tone,-1.8393
2018-02-07,Average Tone,-0.7476
2018-02-08,Average Tone,-0.1585
2018-02-09,Average Tone,-0.1569
2018-02-10,Average Tone,-0.2933
2018-02-11,Average Tone,-0.6994
2018-02-12,Average Tone,-0.6656
2018-02-13,Average Tone,0.0076
2018-02-14,Average Tone,-0.023
2018-02-15,Average Tone,-0.1868
2018-02-16,Average Tone,-0.2709
2018-02-17,Average Tone,0.5587
2018-02-18,Average Tone,-0.2448
2018-02-19,Average Tone,-0.0359
2018-02-20,Average Tone,-0.03
2018-02-21,Average Tone,0.2689
2018-02-22,Average Tone,0.8771
2018-02-23,Average Tone,-0.0229
2018-02-24,Average Tone,-0.3811
2018-02-25,Average Tone,0.5321
2018-02-26,Average Tone,-0.4395
2018-02-27,Average Tone,-0.0538
2018-02-28,Average Tone,-0.5494
2018-03-01,Average Tone,0.2029
2018-03-02,Average Tone,0.0663
2018-03-03,Average Tone,0.1377
2018-03-04,Average Tone,-0.0258
2018-03-05,Average Tone,-0.0452
2018-03-06,Average Tone,0.2321
2018-03-07,Average Tone,-0.4047
2018-03-08,Average Tone,0.1267
2018-03-09,Average Tone,-0.1609
2018-03-10,Average Tone,-0.0983
2018-03-11,Average Tone,0.403
2018-03-12,Average Tone,-0.0338
2018-03-13,Average Tone,0.1896
2018-03-14,Average Tone,-0.3178
2018-03-15,Average Tone,-0.5603
2018-03-16,Average Tone,-0.0092
2018-03-17,Average Tone,0.7338
2018-03-18,Average Tone,-0.0698
2018-03-19,Average Tone,-0.3126
2018-03-20,Average Tone,-0.1251
2018-03-21,Average Tone,0.0911
2018-03-22,Average Tone,0.0485
2018-03-23,Average Tone,0.3029
2018-03-24,Average Tone,0.1821
2018-03-25,Average Tone,0.2845
2018-03-26,Average Tone,-1.3786
2018-03-27,Average Tone,-1.0187
2018-03-28,Average Tone,-0.2427
2018-03-29,Average Tone,-0.06
2018-03-30,Average Tone,0.1623
2018-03-31,Average Tone,-0.0557
2018-04-01,Average Tone,0.1068
2018-04-02,Average Tone,0.1958
2018-04-03,Average Tone,0.1978
2018-04-04,Average Tone,0.2699
2018-04-05,Average Tone,-0.0942
2018-04-06,Average Tone,0.434
2018-04-07,Average Tone,0.7965
2018-04-08,Average Tone,-0.3055
2018-04-09,Average Tone,-0.0496
2018-04-10,Average Tone,0.5416
2018-04-11,Average Tone,0.6116
2018-04-12,Average Tone,-0.3863
2018-04-13,Average Tone,-0.0261
2018-04-14,Average Tone,0.4796
2018-04-15,Average Tone,0.3835
2018-04-16,Average Tone,0.6108
2018-04-17,Average Tone,0.3226
