Date,Series,Value
2017-10-08,Average Tone,0.1851
2017-10-09,Average Tone,0.0366
2017-10-10,Average Tone,-0.5022
2017-10-11,Average Tone,-0.2265
2017-10-12,Average Tone,-0.5914
2017-10-13,Average Tone,0.0552
2017-10-14,Average Tone,-0.4416
2017-10-15,Average Tone,0.1173
2017-10-16,Average Tone,0.108
2017-10-17,Average Tone,-0.7229
2017-10-18,Average Tone,-0.2537
2017-10-19,Average Tone,-0.1901
2017-10-20,Average Tone,-0.099
2017-10-21,Average Tone,-0.5723
2017-10-22,Average Tone,-0.2017
2017-10-23,Average Tone,-0.7995
2017-10-24,Average Tone,0.234
2017-10-25,Average Tone,-0.2076
2017-10-26,Average Tone,-0.446
2017-10-27,Average Tone,0.2002
2017-10-28,Average Tone,0.2578
2017-10-29,Average Tone,0.0943
2017-10-30,Average Tone,-0.5608
2017-10-31,Average Tone,0.1112
2017-11-01,Average Tone,0.0518
2017-11-02,Average Tone,-0.2872
2017-11-03,Average Tone,-0.0521
2017-11-04,Average Tone,1.007
2017-11-05,Average Tone,0.1365
2017-11-06,Average Tone,0.0251
2017-11-07,Average Tone,0.0275
2017-11-08,Average Tone,0.0714
2017-11-09,Average Tone,0.0232
2017-11-10,Average Tone,-0.006
2017-11-11,Average Tone,-0.9217
2017-11-12,Average Tone,-1.3436
2017-11-13,Average Tone,-0.7997
2017-11-14,Average Tone,-0.3437
2017-11-15,Average Tone,-0.345
2017-11-16,Average Tone,-0.5659
2017-11-17,Average Tone,-0.2812
2017-11-18,Average Tone,0.6238
2017-11-19,Average Tone,-0.1312
2017-11-20,Average Tone,0.6314
2017-11-21,Average Tone,-0.4027
2017-11-22,Average Tone,-0.681
2017-11-23,Average Tone,-0.2766
2017-11-24,Average Tone,0.2403
2017-11-25,Average Tone,-0.2634
2017-11-26,Average Tone,-0.1261
2017-11-27,Average Tone,-0.0801
2017-11-28,Average Tone,-0.1479
2017-11-29,Average Tone,-0.6062
2017-11-30,Average Tone,-1.0448
2017-12-03,Average Tone,-0.9406
2017-12-04,Average Tone,-1.0261
2017-12-05,Average Tone,-0.386
2017-12-06,Average Tone,-0.2333
2017-12-07,Average Tone,-1.0586
2017-12-08,Average Tone,-0.9633
2017-12-09,Average Tone,-1.0675
2017-12-10,Average Tone,-0.8573
2017-12-11,Average Tone,-0.8736
2017-12-12,Average Tone,-0.7262
2017-12-13,Average Tone,-0.7995
2017-12-14,Average Tone,-0.7034
2017-12-15,Average Tone,-1.1297
2017-12-16,Average Tone,-1.3649
2017-12-17,Average Tone,-1.0585
2017-12-18,Average Tone,-0.6529
2017-12-19,Average Tone,-0.8058
2017-12-20,Average Tone,-1.3036
2017-12-21,Average Tone,0.0048
2017-12-22,Average Tone,-1.2252
2017-12-23,Average Tone,-1.2028
2017-12-24,Average Tone,-0.5519
2017-12-25,Average Tone,-1.2492
2017-12-26,Average Tone,-0.9428
2017-12-27,Average Tone,-0.5421
2017-12-28,Average Tone,-0.6992
2017-12-29,Average Tone,-1.1389
2017-12-30,Average Tone,-0.5081
2017-12-31,Average Tone,-0.2639
2018-01-01,Average Tone,-0.3779
2018-01-02,Average Tone,-0.9615
2018-01-03,Average Tone,-0.3746
2018-01-04,Average Tone,-0.2282
2018-01-05,Average Tone,-0.5132
2018-01-06,Average Tone,-0.3845
2018-01-07,Average Tone,-1.0379
2018-01-08,Average Tone,-1.0281
2018-01-09,Average Tone,-0.9065
2018-01-10,Average Tone,-0.1312
2018-01-11,Average Tone,-1.4187
2018-01-12,Average Tone,-1.0725
2018-01-13,Average Tone,-1.0418
2018-01-14,Average Tone,-0.4068
2018-01-15,Average Tone,-0.5915
2018-01-16,Average Tone,-1.6121
2018-01-17,Average Tone,-1.6336
2018-01-18,Average Tone,-1.0701
2018-01-19,Average Tone,-1.0363
2018-01-20,Average Tone,-1.1001
2018-01-21,Average Tone,-0.3963
2018-01-22,Average Tone,-0.5425
2018-01-23,Average Tone,-1.4921
2018-01-24,Average Tone,-0.455
2018-01-25,Average Tone,-0.2075
2018-01-26,Average Tone,-0.8738
2018-01-27,Average Tone,-1.4713
2018-01-28,Average Tone,-1.37
2018-01-29,Average Tone,-2.4069
2018-01-30,Average Tone,-1.4616
2018-01-31,Average Tone,-1.055
2018-02-01,Average Tone,-1.9986
2018-02-02,Average Tone,-2.1448
2018-02-03,Average Tone,-1.8283
2018-02-04,Average Tone,-1.494
2018-02-05,Average Tone,-1.4353
2018-02-06,Average Tone,-2.0614
2018-02-07,Average Tone,-0.9642
2018-02-08,Average Tone,-0.2508
2018-02-09,Average Tone,-1.2406
2018-02-10,Average Tone,-0.9053
